,journal
Journal of extracellular vesicles,2
Trends in microbiology,2
"One health (Amsterdam, Netherlands)",2
BMC immunology,2
Biochemical pharmacology,2
Computational biology and chemistry,2
Comptes rendus biologies,2
Journal of molecular cell biology,2
Small methods,2
Annual review of medicine,2
Biomedicines,2
Bioscience trends,2
Annals of the rheumatic diseases,2
Biomedica : revista del Instituto Nacional de Salud,2
Acta pharmacologica Sinica,2
Tropical animal health and production,2
European journal of clinical investigation,2
Genome medicine,2
Microchemical journal : devoted to the application of microtechniques in all branches of science,2
Frontiers in pharmacology,2
Nature biomedical engineering,2
Critical care explorations,2
Chemical science,2
Current topics in medicinal chemistry,2
New biotechnology,2
ImmunoHorizons,2
"European journal of cancer (Oxford, England : 1990)",2
Journal of medical biochemistry,2
Nature reviews. Microbiology,2
European review for medical and pharmacological sciences,2
Frontiers in cell and developmental biology,2
Frontiers in medical technology,2
Expert review of clinical immunology,2
"Infectious diseases (London, England)",2
Biosensors,2
The Indian journal of medical research,2
Multiple sclerosis and related disorders,2
American journal of obstetrics and gynecology,2
Expert opinion on therapeutic targets,2
Human antibodies,2
Lancet Regional Health. Americas,2
National science review,2
Immune network,2
American journal of hematology,2
The Brazilian journal of infectious diseases : an official publication of the Brazilian Society of Infectious Diseases,2
The Journal of pediatrics,2
Journal of thoracic disease,2
"AIDS (London, England)",2
Nature chemical biology,2
Journal of biosciences,2
BMC microbiology,2
QRB discovery,2
Virus evolution,2
Intervirology,2
IUBMB life,2
SSRN,2
Future virology,2
PeerJ,2
American journal of clinical pathology,2
The FEBS journal,2
Life sciences,2
Protein & cell,2
Archives of pathology & laboratory medicine,2
The Journal of reproduction and development,1
Arabian journal of chemistry,1
Journal of the American Society for Mass Spectrometry,1
HemaSphere,1
Fertility and sterility,1
Maedica,1
Saudi journal of biological sciences,1
Neuromuscular disorders : NMD,1
"Cells, tissues, organs",1
Clinical laboratory,1
Northern clinics of Istanbul,1
Trends in pharmacological sciences,1
Annali dell'Istituto superiore di sanita,1
Journal of cellular and molecular medicine,1
Pathogens and disease,1
Applied materials today,1
Nature cell biology,1
"Nanomedicine : nanotechnology, biology, and medicine",1
Open biology,1
Annals of Ibadan postgraduate medicine,1
Transplantation and cellular therapy,1
"Research (Washington, D.C.)",1
Journal of developmental biology,1
Molecular neurobiology,1
Journal of pharmaceutical analysis,1
Scandinavian journal of immunology,1
Interface focus,1
Journal of infection in developing countries,1
Blood advances,1
AAPS PharmSciTech,1
Peptides,1
Iranian journal of medical sciences,1
Plant biotechnology journal,1
Nutrients,1
Blood transfusion = Trasfusione del sangue,1
Nuclear medicine and biology,1
"Reproductive toxicology (Elmsford, N.Y.)",1
Virulence,1
Frontiers of medicine,1
Nature reviews. Genetics,1
Cancer cell,1
Seminars in dialysis,1
Applied and environmental microbiology,1
"Diabetes, obesity & metabolism",1
BMC veterinary research,1
RSC chemical biology,1
Muscle & nerve,1
Annals of clinical microbiology and antimicrobials,1
AJOG global reports,1
BMC cancer,1
Environmental research,1
Biomaterials,1
Physical chemistry chemical physics : PCCP,1
Annals of neurology,1
Current opinion in gastroenterology,1
GeroScience,1
Royal Society open science,1
IUCrJ,1
Biomaterials science,1
BMJ open,1
Nature reviews. Molecular cell biology,1
Clinical hematology international,1
Bioengineering & translational medicine,1
GigaScience,1
British journal of anaesthesia,1
Cancers,1
Current opinion in allergy and clinical immunology,1
The Lancet regional health. Western Pacific,1
Current opinion in virology,1
Journal of molecular graphics & modelling,1
JAMA neurology,1
Clinical therapeutics,1
Annals of hematology,1
Current medical science,1
ChemistrySelect,1
Zoological research,1
Gastroenterology,1
Journal of perinatal medicine,1
Cancer investigation,1
Aging clinical and experimental research,1
"Dalton transactions (Cambridge, England : 2003)",1
Biological & pharmaceutical bulletin,1
Neurology and therapy,1
"International journal of surgery (London, England)",1
Transplant infectious disease : an official journal of the Transplantation Society,1
"Medical oncology (Northwood, London, England)",1
Journal of clinical medicine research,1
Journal of personalized medicine,1
"Current oncology (Toronto, Ont.)",1
Oxidative medicine and cellular longevity,1
Lakartidningen,1
Journal of the American Geriatrics Society,1
Qatar medical journal,1
Nano today,1
Clinical reviews in allergy & immunology,1
The American journal of gastroenterology,1
Journal of bioinformatics and computational biology,1
Journal of proteome research,1
Revista do Instituto de Medicina Tropical de Sao Paulo,1
"Clinics (Sao Paulo, Brazil)",1
Journal of travel medicine,1
"BioEssays : news and reviews in molecular, cellular and developmental biology",1
Biomedical reports,1
